"","1706784_MW112_HPC5_1_S86_L003","1706785_MW112_HPC5_2_S87_L003","1706786_MW112_HPC5_3_S88_L003","SRR908270_RNAseq_HPC7","SRR908271_RNAseq_HPC7","treatment_mean","control_mean","logFC"
"ENSMUSG00000000538",855.860640367271,804.832123745403,844.951078537743,988.511539843919,1177.17862047039,1082.84508015715,835.214614216806,0.37421339704984
"ENSMUSG00000000544",0,0,0,0,0,0,0,0
"ENSMUSG00000000552",910.450595713545,998.931919211822,1017.19657408081,7649.24710248807,7425.53328038496,7537.39019143652,975.52636300206,2.94852557389015
"ENSMUSG00000000555",5008.34586816801,5366.03312134221,5121.81379772802,3978.25924358612,4201.70404756536,4089.98164557574,5165.39759574608,-0.336711610180513
"ENSMUSG00000000560",0,0.578739744404115,0,1.90612845196674,7.01132623825134,4.45872734510904,0.192913248134705,2.19407550834601
"ENSMUSG00000000561",4210.2662363696,4409.67537517105,4316.8258909089,6112.59892052281,4614.69033006707,5363.64462529494,4312.25583414985,0.314705314623202
"ENSMUSG00000000562",102.924800237801,123.572084384862,117.608430847039,92.0828852562146,255.465526217756,173.774205736985,114.701771823234,0.595081321026472
"ENSMUSG00000000563",10808.8343129697,11659.7566285093,10881.9842436978,12776.6631746716,9309.67667189943,11043.1699232855,11116.8583950589,-0.00959392191412216
"ENSMUSG00000000567",5.97138632712033,3.6159666702556,5.01136732840527,5.23698840578277,5.1031838899588,5.17008614787079,4.86624010859373,0.0728545100430699
"ENSMUSG00000000568",10831.3657311895,10973.125529872,11653.4837332955,17241.7061368899,16255.4248430524,16748.5654899712,11152.6583314524,0.586606687400409
"ENSMUSG00000000579",1647.37721049101,1702.82148942076,1594.83645538715,2782.57317515106,3831.03679650936,3306.80498583021,1648.34505176631,1.00398093199343
"ENSMUSG00000000581",1352.54746336764,1546.70036508648,1405.53183395979,593.754470486844,286.440717499783,440.097593993313,1434.92655413797,-1.7028121627326
"ENSMUSG00000000594",12035.740876068,12414.9050322178,11349.9473134853,2117.94944491871,2663.39421858068,2390.6718317497,11933.5310739237,-2.31905052998227
"ENSMUSG00000000600",8593.22208708441,8315.22793263249,8255.71383462096,8642.98723571137,7696.08490990455,8169.53607280796,8388.05461811262,-0.038077501805126
"ENSMUSG00000000605",1493.21380843712,1466.46115968219,1407.92576448379,976.854089405439,905.763607703222,941.308848554331,1455.8669108677,-0.628597192718628
"ENSMUSG00000000606",2.12308006280967,0.596418183338239,0,0,3.47248268393831,1.73624134196916,0.906499415382636,0.52126939575962
"ENSMUSG00000000617",3.70281323014625,2.68516856700082,1.15253379815776,79.4410390705153,17.1011443540555,48.2710917122854,2.51350519843494,3.80975849994327
"ENSMUSG00000000627",21.4612832187289,19.5691395601282,31.5011333135486,2.49952174960163,0,1.24976087480082,24.1771853641352,-3.48427343684927
"ENSMUSG00000000628",2587.68694715353,2632.93896738112,2530.69434600666,1079.15412197839,657.543594379972,868.348858179179,2583.77342018044,-1.57203068747823
"ENSMUSG00000000631",5247.66401831559,5251.96949163749,5274.96974747599,6929.98369089929,5314.27518211415,6122.12943650672,5258.20108580969,0.219425521079339
"ENSMUSG00000000632",14.2687623108165,18.9107562192376,9.25718243809036,18.214184174193,23.2112510741228,20.7127176241579,14.1455669893815,0.519644721110674
"ENSMUSG00000000673",678.854850083391,751.071446031868,753.091180254857,140.186278107321,144.10803138344,142.14715474538,727.672492123372,-2.34777153402182
"ENSMUSG00000000682",2362.89111415085,3047.90085531005,2532.92303085932,1816.33179909236,1341.84814943929,1579.08997426582,2647.90500010674,-0.745389392660771
"ENSMUSG00000000686",144.255232026666,138.688472836004,137.417041038985,62.6260966174944,68.62786545349,65.6269810354922,140.120248633885,-1.08274657822588
"ENSMUSG00000000690",0,0.508251743962452,0,0,0,0,0.169417247987484,-0.225789775207176
"ENSMUSG00000000693",65.0105975022717,88.1764296781958,67.7452818512927,52.2358782412665,68.8248660460568,60.5303721436616,73.6441030105867,-0.278729571746904
"ENSMUSG00000000701",0,0,0,0,0,0,0,0
"ENSMUSG00000000702",0,0,0,0,0,0,0,0
"ENSMUSG00000000706",3.29781487776107,2.36506519730741,5.12381126990468,8.23214317085355,3.62250753144017,5.92732535114686,3.59556378165772,0.592056571998453
