"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"fdr"
"Tuba1b"	0.000745829723569123	-0.230895918180388	0.504	0.534	1	0.000844335536115988
"Ifi27"	0.00111825689992329	0.221271801049926	0.445	0.352	1	0.00125411988776444
"Sec61g"	0.00132757773290947	-0.215088386482384	0.68	0.672	1	0.00147508636989941
"Ranbp1"	0.00165514107586364	-0.229550862316667	0.643	0.65	1	0.00182217366150125
"Nrip1"	0.00168279481118374	0.216117860853624	0.707	0.581	1	0.00183577615765499
"Ly6e"	0.00183178198242023	0.201426684794321	0.93	0.896	1	0.00198030484585971
"Crip1"	0.00206510309532015	-0.204272765540111	0.365	0.424	1	0.00220517953306975
"Mpo"	0.00207654406030735	-0.318428661361249	0.172	0.226	1	0.00220517953306975
"Alad"	0.00277425896002482	-0.21094735907634	0.258	0.313	1	0.00292027258949981
"Ost4"	0.00298999206931081	-0.216902942683286	0.566	0.57	1	0.00311999172449823
"Muc13"	0.00501186870565507	0.221072049527456	0.422	0.348	1	0.00518469176447077
